"CSP Whitelisting","CSP Whitelisting"
"About HK2 Extensions","About HK2 Extensions"
"General Settings","General Settings"
"Script Src URLs","Script Src URLs"
"Comma-separated list of script-src URLs","Comma-separated list of script-src URLs"
"Style Src URLs","Style Src URLs"
"Comma-separated list of style-src URLs","Comma-separated list of style-src URLs"
"Image Src URLs","Image Src URLs"
"Comma-separated list of img-src URLs","Comma-separated list of img-src URLs"
"Connect Src URLs","Connect Src URLs"
"Comma-separated list of connect-src URLs","Comma-separated list of connect-src URLs"
"Font Src URLs","Font Src URLs"
"Comma-separated list of font-src URLs","Comma-separated list of font-src URLs"
"Frame Src URLs","Frame Src URLs"
"Comma-separated list of frame-src URLs","Comma-separated list of frame-src URLs"
"Reset CSP","Reset CSP"
"Clear all CSP fields and restore defaults. Continue?","This will clear all CSP fields and restore defaults. Continue?"
