"CSP Whitelisting","CSP व्हाइटलिस्टिंग"
"About HK2 Extensions","HK2 एक्सटेंशन के बारे में"
"General Settings","सामान्य सेटिंग्स"
"Script Src URLs","स्क्रिप्ट स्रोत (Script Src) URL"
"Comma-separated list of script-src URLs","script-src URL की अल्पविराम से अलग की गई सूची"
"Style Src URLs","शैली स्रोत (Style Src) URL"
"Comma-separated list of style-src URLs","style-src URL की अल्पविराम से अलग की गई सूची"
"Image Src URLs","छवि स्रोत (Image Src) URL"
"Comma-separated list of img-src URLs","img-src URL की अल्पविराम से अलग की गई सूची"
"Connect Src URLs","कनेक्ट स्रोत (Connect Src) URL"
"Comma-separated list of connect-src URLs","connect-src URL की अल्पविराम से अलग की गई सूची"
"Font Src URLs","फ़ॉन्ट स्रोत (Font Src) URL"
"Comma-separated list of font-src URLs","font-src URL की अल्पविराम से अलग की गई सूची"
"Frame Src URLs","फ्रेम स्रोत (Frame Src) URL"
"Comma-separated list of frame-src URLs","frame-src URL की अल्पविराम से अलग की गई सूची"
"Reset CSP","CSP रीसेट करें"
"Clear all CSP fields and restore defaults. Continue?","यह सभी CSP फ़ील्ड को साफ़ कर देगा और डिफ़ॉल्ट को पुनर्स्थापित करेगा। जारी रखें?"
