"CSP Whitelisting","Белый список CSP"
"About HK2 Extensions","О расширениях HK2"
"General Settings","Общие настройки"
"Script Src URLs","URL-адреса Script Src"
"Comma-separated list of script-src URLs","Список URL-адресов script-src через запятую"
"Style Src URLs","URL-адреса Style Src"
"Comma-separated list of style-src URLs","Список URL-адресов style-src через запятую"
"Image Src URLs","URL-адреса Image Src"
"Comma-separated list of img-src URLs","Список URL-адресов img-src через запятую"
"Connect Src URLs","URL-адреса Connect Src"
"Comma-separated list of connect-src URLs","Список URL-адресов connect-src через запятую"
"Font Src URLs","URL-адреса Font Src"
"Comma-separated list of font-src URLs","Список URL-адресов font-src через запятую"
"Frame Src URLs","URL-адреса Frame Src"
"Comma-separated list of frame-src URLs","Список URL-адресов frame-src через запятую"
"Reset CSP","Сбросить CSP"
"Clear all CSP fields and restore defaults. Continue?","Это очистит все поля CSP и восстановит значения по умолчанию. Продолжить?"
